Aston Villa,1,Guzan,Brad
Aston Villa,13,Steer,Jed
Aston Villa,31,Given,Shay
Aston Villa,2,Baker,Nathan
Aston Villa,3,Bennett,Joe
Aston Villa,4,Vlaar,Ron
Aston Villa,5,Okore,Jores
Aston Villa,6,Clark,Ciaran
Aston Villa,9,Sinclair,Scott
Aston Villa,14,Senderos,Phillipe
Aston Villa,21,Hutton,Alan
Aston Villa,23,Cissokho,Aly
Aston Villa,32,Donacien,Janoi
Aston Villa,34,Lowton,Matthew
Aston Villa,35,Stevens,Enda
Aston Villa,7,Bacuna,Leandro
Aston Villa,8,El Ahmadi,Karim
Aston Villa,12,Cole,Joe
Aston Villa,15,Westwood,Ashley
Aston Villa,16,Delph,Fabian
Aston Villa,17,Herd,Chris
Aston Villa,18,Richardson,Kieran
Aston Villa,22,Gardner,Gary
Aston Villa,24,Sanchez,Carlos
Aston Villa,25,Gil,Carles
Aston Villa,28,N'Zogbia,Charles
Aston Villa,36,Johnson,Daniel
Aston Villa,40,Grealish,Jack
Aston Villa,10,Weimann,Andreas
Aston Villa,11,Agbonlahor,Gabriel
Aston Villa,19,Bent,Darren
Aston Villa,20,Benteke,Christian
Aston Villa,27,Kozak,Libor
Aston Villa,37,Robinson,Callum
Aston Villa,38,Burke,Graham
Aston Villa,39,Calder,Riccardo
